HUNDRED,STREET,FROM,TO,CITY COUNCIL DISTRICT,POTHOLES,DITCHES,EMERGENCY UTILITY WORK,ROADWAY RESURFACING RATING,PAVING PROGRAM,,,
1700,CHURCH ST,ORCHARD ST,CLOUD ST,7,1,0,0,57,CITY LOCAL,,,
1800,CHURCH ST,CLOUD ST,TACKAWANNA ST,7,0,0,2,44,CITY LOCAL,,,
1900,CHURCH ST,TACKAWANNA ST,JOSEPHINE ST,7,1,1,0,70,CITY LOCAL,,,
2000,CHURCH ST,JOSEPHINE ST,TORRESDALE AVE,7,1,0,0,50,CITY LOCAL,,,
300,CINNAMINSON ST,CINNAMINSON CT,PECHIN ST,4,2,1,1,57,CITY LOCAL,,,
400,CINNAMINSON ST,PECHIN ST,MITCHELL ST,4,1,0,1,73,CITY LOCAL,,,
400,CINNAMINSON ST,MITCHELL ST,RIDGE AVE,4,0,0,0,78,CITY LOCAL,,,
4000,CITY AVE,PRESIDENTIAL BLVD,MONUMENT RD,4,0,3,1,100,PENNDOT,,,
4100,CITY AVE,DECKER BLVD,KINGS GRANT DR,4,0,0,0,100,PENNDOT,,,
4100,CITY AVE,MONUMENT RD,DECKER BLVD,4,0,0,0,100,PENNDOT,,,
4200,CITY AVE,KINGS GRANT DR,STOUT RD,4,0,0,0,100,PENNDOT,,,
4300,CITY AVE,STOUT RD,BELMONT AVE,4,1,0,0,100,PENNDOT,,,
4400,CITY AVE,BELMONT AVE,N 47TH ST,4,0,2,0,100,PENNDOT,,,
4700,CITY AVE,N 47TH ST,CONSHOHOCKEN AVE,4,2,2,0,100,PENNDOT,,,
4900,CITY AVE,CONSHOHOCKEN AVE,N 50TH ST,4,1,0,0,100,PENNDOT,,,
5000,CITY AVE,BALA AVE,GOLF RD,4,0,1,0,100,PENNDOT,,,
5000,CITY AVE,GOLF RD,BRYN MAWR AVE,4,0,0,3,100,PENNDOT,,,
5000,CITY AVE,BRYN MAWR AVE,N 51ST ST,4,0,0,0,100,PENNDOT,,,
5000,CITY AVE,N 50TH ST,BALA AVE,4,2,0,0,100,PENNDOT,,,
5100,CITY AVE,N 51ST ST,N 52ND ST,4,0,0,0,100,PENNDOT,,,
5200,CITY AVE,MAPLE AVE,N 53RD ST,4,0,0,0,100,PENNDOT,,,
5300,CITY AVE,N 53RD ST,OLD LANCASTER RD,4,0,0,0,100,PENNDOT,,,
5400,CITY AVE,ORCHARD RD,LAPSLEY LN,4,0,0,4,100,PENNDOT,,,
5400,CITY AVE,N 54TH ST,ORCHARD RD,4,0,1,0,100,PENNDOT,,,
5600,CITY AVE,LAPSLEY LN,CARDINAL AVE,4,0,0,0,100,PENNDOT,,,
5700,CITY AVE,CARDINAL AVE,BERWICK RD,4,0,0,0,100,PENNDOT,,,
5800,CITY AVE,BERWICK RD,N 59TH ST,4,0,0,0,100,PENNDOT,,,
5900,CITY AVE,RAYNHAM RD,BLANCOYD RD,4,0,0,0,100,PENNDOT,,,
6000,CITY AVE,OVERBROOK AVE,MERION RD,4,0,0,0,100,PENNDOT,,,
6100,CITY AVE,DREXEL RD,N 63RD ST,4,1,0,0,100,PENNDOT,,,
6300,CITY AVE,N 63RD ST,E WYNNEWOOD RD,4,2,0,0,100,PENNDOT,,,
6300,CITY AVE,E WYNNEWOOD RD,LANCASTER AVE,4,0,0,0,100,PENNDOT,,,
6300,CITY AVE,LANCASTER AVE,N 64TH ST,4,0,0,0,100,PENNDOT,,,
6400,CITY AVE,CHURCH RD,GREENHILL APART- MENT DR,4,8,3,0,100,PENNDOT,,,
6400,CITY AVE,N 64TH ST,CHURCH RD,4,0,0,8,100,PENNDOT,,,
6600,CITY AVE,N 66TH ST,N 69TH ST,4,6,0,0,100,PENNDOT,,,
6900,CITY AVE,N 69TH ST,GREENHILL RD,4,2,0,0,100,PennDOT,,,
6900,CITY AVE,GREENHILL RD,GREENHILL LN,4,0,0,0,100,PENNDOT,,,
7000,CITY AVE,GREENHILL LN,N 71ST ST,4,0,0,0,100,PENNDOT,,,
7100,CITY AVE,WILTSHIRE RD,N 72ND ST,4,0,0,0,100,PENNDOT,,,
7100,CITY AVE,N 71ST ST,WILTSHIRE RD,4,0,0,0,100,PENNDOT,,,
7200,CITY AVE,ALLANDALE RD,HAVERFORD RD,4,0,0,0,100,PENNDOT,,,
7200,CITY AVE,N 72ND ST,ALLANDALE RD,4,0,0,0,100,PENNDOT,,,
4000,COMLY ST,MULBERRY ST,CHARLES ST,6,1,0,0,44,CITY LOCAL,,,
4000,COMLY ST,FRANKFORD AVE,DUFFIELD ST,6,0,0,0,74,CITY LOCAL,,,
4000,COMLY ST,HAWTHORNE ST,MULBERRY ST,6,0,0,0,44,CITY LOCAL,,,
4000,COMLY ST,DUFFIELD ST,HAWTHORNE ST,6,0,0,0,57,CITY LOCAL,,,
4100,COMLY ST,TACKAWANNA ST,ERDRICK ST,7,2,0,0,58,CITY LOCAL,,,
4100,COMLY ST,CHARLES ST,TACKAWANNA ST,7,2,0,0,44,CITY LOCAL,,,
7000,CRISPIN ST,TYSON AVE,BRIGHTON ST,6,3,0,0,44,CITY LOCAL,,,
7100,CRISPIN ST,PRINCETON AVE,FRIENDSHIP ST,6,0,0,0,83,CITY LOCAL,,,
7100,CRISPIN ST,FRIENDSHIP ST,SAINT VINCENT ST,6,1,0,3,58,CITY LOCAL,,,
7200,CRISPIN ST,WELLINGTON ST,ENGLEWOOD ST,6,0,0,0,70,CITY LOCAL,,,
7200,CRISPIN ST,ENGLEWOOD ST,COTTMAN AVE,6,1,0,1,58,CITY LOCAL,,,
7200,CRISPIN ST,SAINT VINCENT ST,WELLINGTON ST,6,3,0,0,70,CITY LOCAL,,,
2000,CUTHBERT ST,N 20TH ST,N 21ST ST,5,0,15,0,57,CITY LOCAL,,,
5100,D ST,E ROOSEVELT BLVD,E ASHDALE ST,7,0,0,1,87,CITY LOCAL,,,
5200,D ST,E ASHDALE ST,E TABOR RD,9,1,0,1,70,CITY LOCAL,,,
10800,DECATUR RD,DARNELL RD,COMLY RD,10,15,1,0,95,CITY LOCAL,,,
2100,DELANCEY PL,S 21ST ST,S 22ND ST,2,2,0,0,52,CITY LOCAL,,,
2200,DELANCEY PL,S 22ND ST,S 23RD ST,2,3,0,0,57,CITY LOCAL,,,
2300,DELANCEY PL,S 23RD ST,S 24TH ST,2,0,0,0,78,CITY LOCAL,,,
2400,DELANCEY PL,S 24TH ST,S 25TH ST,2,3,1,1,73,CITY LOCAL,,,
2500,DELANCEY PL,S 25TH ST,S 26TH ST,2,0,0,0,100,CITY LOCAL,,,
