HUNDRED,ON,FROM,TO,COUNCIL,CONDI- TION_IN- DEX,POTHOLES,DITCHES,PAVING PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5400,BINGHAM ST,GARLAND ST,MAYFAIR ST,9,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5400,BINGHAM ST,MAYFAIR ST,ADAMS AVE,9,100,1,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,BINGHAM ST,MARTINS MILL RD,MAGEE AVE,9,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,BLAIR ST,E SUSQUEHANNA AVE,E DAUPHIN ST,1,100,0,5,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,BLAIR ST,DREER ST,E SUSQUEHANNA AVE,1,100,0,1,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,BLAIR ST,E NORRIS ST,DREER ST,1,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,BLAIR ST,E HEWSON ST,E NORRIS ST,7,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,BLAIR ST,E BERKS ST,E HEWSON ST,7,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,BLAIR ST,E MONTGOMERY AVE,E BERKS ST,7,100,4,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,BLAIR ST,DEAD END SOUTH,E MONTGOMERY AVE,7,100,0,2,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,BOWMAN ST,HENRY AVE,OSMOND ST,4,100,2,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,BOWMAN ST,OSMOND ST,BARCLAY ST,4,100,0,0,City Force Paving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
